"section","id","title","eyebrow","summary","body","media_url","media_type","link_label","link_url","tags","color","order","published"
"site","main","Connie Cen","","Dance/movement therapy, meditative practice, and Taoist-informed wellbeing.","","","","","","","","","TRUE"
"theme","accent","","","","","","","","","","#c75c6e","1","TRUE"
"theme","accent-soft","","","","","","","","","","#f3c6d0","2","TRUE"
"theme","moss","","","","","","","","","","#607d67","3","TRUE"
"theme","plum","","","","","","","","","","#40304d","4","TRUE"
"hero","main","Connie Cen","Therapeutic movement, music, and contemplative practice","A grounded space for embodied therapy through meditative dance, music, tai chi, and Taoist-informed reflection.","","","","","","Dance therapy, Tai chi, Music, Taoism","","1","TRUE"
"practice","main","","","The work combines gentle movement, sound, breath, and inquiry so clients can reconnect with their body without pressure to perform.","","","","","","","","","TRUE"
"stat","mind-body","Mind-body","","Somatic support and reflective practice","","","","","","","","1","TRUE"
"stat","movement","Movement","","Dance, tai chi, breath, and rhythm","","","","","","","","2","TRUE"
"stat","sound","Sound","","Music-led attention and integration","","","","","","","","3","TRUE"
"offering","meditative-dance","Meditative Dance","","Slow, expressive movement for emotional awareness, grounding, and gentle self-observation.","","","","","","Movement, Breath","","1","TRUE"
"offering","music-listening","Music and Listening","","Sound-based reflection sessions that use rhythm, voice, and silence as therapeutic anchors.","","","","","","Music, Reflection","","2","TRUE"
"offering","tai-chi","Tai Chi Foundations","","Accessible tai chi-inspired movement for balance, pacing, and attention to internal change.","","","","","","Tai chi, Nervous system","","3","TRUE"
"offering","taoist-reflection","Taoist-Informed Reflection","","A contemplative approach to change, rhythm, restraint, and the wisdom of natural cycles.","","","","","","Taoism, Inquiry","","4","TRUE"
"about","main","A practice shaped by movement, listening, and cultural memory.","About","","Connie's work sits at the intersection of therapeutic care, meditative dance, music, tai chi, and Taoist thought.

Her sessions are designed to feel attentive and unhurried: a place to notice sensation, restore agency, and make meaning through the body as well as words.","https://drive.google.com/file/d/19cLwbyRq6YorLtdr89_RFPRDIixV_0Pz/view?usp=sharing","image","Resume","","","","1","TRUE"
"process","arrive","Arrive","","Begin with breath, attention, and a clear sense of what the body is carrying.","","","","","","","","1","TRUE"
"process","listen","Listen","","Use music, silence, and guided noticing to identify texture before interpretation.","","","","","","","","2","TRUE"
"process","move","Move","","Let gesture, tai chi, and dance create a precise but gentle working language.","","","","","","","","3","TRUE"
"process","integrate","Integrate","","Close with practical reflection that can travel back into daily life.","","","","","","","","4","TRUE"
"work","main","","","Projects can be added, hidden, reordered, and expanded from the spreadsheet without changing code.","","","","","","","","","TRUE"
"project","embodied-listening","Embodied Listening Workshop","","A small-group workshop using music, paired reflection, and movement scores to build embodied attention.","","","image","","","Workshop, Music, Movement","","1","TRUE"
"project","cherry-blossom-study","Cherry Blossom Movement Study","","A seasonal practice inspired by sakura: impermanence, softness, rhythm, and renewal.","","","image","","","Sakura, Dance, Contemplation","","2","TRUE"
"project","tai-chi-breath","Tai Chi and Breath Series","","A sequence of accessible sessions focused on balance, recovery, and embodied steadiness.","","","image","","","Tai chi, Breath, Group practice","","3","TRUE"
"project_block","embodied-listening","Format","","","Participants move through a low-pressure sequence: arrival, listening, simple gestures, journaling, and group integration.","","","","","","","1","TRUE"
"project_block","embodied-listening","Intention","","","The workshop gives participants tools for noticing emotion through rhythm and posture without forcing a fixed narrative.","","","","","","","2","TRUE"
"project_block","cherry-blossom-study","Seasonal prompt","","","Cherry blossoms offer a visual language for beauty, change, and the short life of each moment. The movement study turns that language into breath, pacing, and gesture.","","","","","","","1","TRUE"
"project_block","tai-chi-breath","Session arc","","","Each session starts with stance and breath, then moves into slow weight shifts, hand forms, and quiet reflection.","","","","","","","1","TRUE"
"contact","main","For sessions, workshops, and collaborations.","Contact","Share a little about what you are looking for, and Connie will respond with next steps.","","","","","","","","1","TRUE"
"social","email","Email","","","","","","","mailto:hello@example.com","","","1","TRUE"
"social","facebook","Facebook","","","","","","","https://www.facebook.com/kangying.cen/","","","2","TRUE"
